Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Pyrosoma,Chrome 65.0.3325.181,,2018-04-19 08:54:11,2018-04-19 08:55:01,50.214s,PASSED
,,,,,,
Test Cases/Login.Pyrosoma,Chrome 65.0.3325.181,,2018-04-19 08:54:12,2018-04-19 08:54:28,16.547s,PASSED
openBrowser,Chrome 65.0.3325.181,,2018-04-19 08:54:12,2018-04-19 08:54:16,3.554s,PASSED
navigateToUrl,Chrome 65.0.3325.181,,2018-04-19 08:54:16,2018-04-19 08:54:20,3.723s,PASSED
click,Chrome 65.0.3325.181,,2018-04-19 08:54:20,2018-04-19 08:54:22,2.066s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-19 08:54:22,2018-04-19 08:54:23,1.549s,PASSED
click,Chrome 65.0.3325.181,,2018-04-19 08:54:23,2018-04-19 08:54:24,0.181s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-19 08:54:24,2018-04-19 08:54:25,1.793s,PASSED
click,Chrome 65.0.3325.181,,2018-04-19 08:54:25,2018-04-19 08:54:26,0.789s,PASSED
click,Chrome 65.0.3325.181,,2018-04-19 08:54:26,2018-04-19 08:54:27,0.959s,PASSED
click,Chrome 65.0.3325.181,,2018-04-19 08:54:27,2018-04-19 08:54:28,1.259s,PASSED
click,Chrome 65.0.3325.181,,2018-04-19 08:54:28,2018-04-19 08:54:28,0.093s,PASSED
,,,,,,
Test Cases/Logout.Pyrosoma,Chrome 65.0.3325.181,,2018-04-19 08:54:28,2018-04-19 08:55:01,33.016s,PASSED
click,Chrome 65.0.3325.181,,2018-04-19 08:54:29,2018-04-19 08:55:00,31.562s,PASSED
click,Chrome 65.0.3325.181,,2018-04-19 08:55:00,2018-04-19 08:55:01,0.852s,PASSED
closeBrowser,Chrome 65.0.3325.181,,2018-04-19 08:55:01,2018-04-19 08:55:01,0.293s,PASSED
