Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Pyrosoma,Chrome 65.0.3325.181,,2018-04-19 15:23:49,2018-04-19 15:24:49,59.913s,PASSED
,,,,,,
Test Cases/Login.Pyrosoma,Chrome 65.0.3325.181,,2018-04-19 15:23:49,2018-04-19 15:24:15,25.721s,PASSED
openBrowser,Chrome 65.0.3325.181,,2018-04-19 15:23:50,2018-04-19 15:23:53,3.465s,PASSED
navigateToUrl,Chrome 65.0.3325.181,,2018-04-19 15:23:53,2018-04-19 15:23:58,4.138s,PASSED
click,Chrome 65.0.3325.181,,2018-04-19 15:23:58,2018-04-19 15:24:09,11.266s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-19 15:24:09,2018-04-19 15:24:10,1.080s,PASSED
click,Chrome 65.0.3325.181,,2018-04-19 15:24:10,2018-04-19 15:24:10,0.111s,PASSED
setText,Chrome 65.0.3325.181,,2018-04-19 15:24:10,2018-04-19 15:24:12,1.788s,PASSED
click,Chrome 65.0.3325.181,,2018-04-19 15:24:12,2018-04-19 15:24:12,0.621s,PASSED
click,Chrome 65.0.3325.181,,2018-04-19 15:24:12,2018-04-19 15:24:13,0.989s,PASSED
click,Chrome 65.0.3325.181,,2018-04-19 15:24:13,2018-04-19 15:24:15,1.631s,PASSED
click,Chrome 65.0.3325.181,,2018-04-19 15:24:15,2018-04-19 15:24:15,0.075s,PASSED
,,,,,,
Test Cases/Logout.Pyrosoma,Chrome 65.0.3325.181,,2018-04-19 15:24:15,2018-04-19 15:24:49,33.616s,PASSED
click,Chrome 65.0.3325.181,,2018-04-19 15:24:15,2018-04-19 15:24:47,31.369s,PASSED
click,Chrome 65.0.3325.181,,2018-04-19 15:24:47,2018-04-19 15:24:49,1.869s,PASSED
closeBrowser,Chrome 65.0.3325.181,,2018-04-19 15:24:49,2018-04-19 15:24:49,0.246s,PASSED
